"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs7097656-<b>?</b>,"1 x 10-13","(subset analysis)",NR,'-,'-,'-,TSPAN14,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:80491075
rs1800682-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,"ACTA2, AL157394.3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:88990206
rs2497318-<b>?</b>,"3 x 10-11","(subset analysis)",NR,'-,'-,'-,"HHEX, EIF2S2P3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:92672243
rs10748781-<b>?</b>,"6 x 10-51","(subset analysis)",NR,'-,'-,'-,"LINC01475, AL391684.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:99523573
rs1847472-<b>?</b>,"5 x 10-10","(subset analysis)",NR,'-,'-,'-,BACH2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:90263440
rs4946717-<b>?</b>,"1 x 10-21","(subset analysis)",NR,'-,'-,'-,PRDM1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:106026874
rs28701841-<b>?</b>,"6 x 10-10","(subset analysis)",NR,'-,'-,'-,"PRDM1, ATG5","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:106082455
rs9491891-<b>?</b>,"5 x 10-15","(subset analysis)",NR,'-,'-,'-,"THEMIS, PTPRK","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:127956006
rs582757-<b>?</b>,"1 x 10-16","(subset analysis)",NR,'-,'-,'-,TNFAIP3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:137876687
rs928722-<b>?</b>,"4 x 10-14","(subset analysis)",NR,'-,'-,'-,"AL356234.2, BTF3L4P3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:137652695
rs9494840-<b>?</b>,"3 x 10-9","(subset analysis)",NR,'-,'-,'-,"BTF3L4P3, AL356234.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:137641937
rs2451258-<b>?</b>,"5 x 10-17","(subset analysis)",NR,'-,'-,'-,"AL356417.3, AL035530.1, AL035530.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:159085568
rs67025039-<b>?</b>,"9 x 10-25","(subset analysis)",NR,'-,'-,'-,'-,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,"Mapping not available"
rs111305875-<b>?</b>,"3 x 10-7","(subset analysis)",NR,'-,'-,'-,Z94721.2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:167098098
rs2301436-<b>?</b>,"8 x 10-7","(subset analysis)",NR,'-,'-,'-,"FGFR1OP, Z94721.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:167024500
rs1182188-<b>?</b>,"4 x 10-11","(subset analysis)",NR,'-,'-,'-,GNA12,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:2830351
rs1525735-<b>?</b>,"9 x 10-9","(subset analysis)",NR,'-,'-,'-,"AC073332.1, AHR","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:17157947
rs28550029-<b>?</b>,"3 x 10-18","(subset analysis)",NR,'-,'-,'-,SKAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:26832962
rs860262-<b>?</b>,"7 x 10-9","(subset analysis)",NR,'-,'-,'-,JAZF1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:28154778
rs4917129-<b>?</b>,"4 x 10-12","(subset analysis)",NR,'-,'-,'-,"AC020743.3, IKZF1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:50283578
rs12718244-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,SPATA48,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:50136058
rs9297145-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,"SMURF1, KPNA7","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:99161494
rs6466198-<b>?</b>,"1 x 10-21","(subset analysis)",NR,'-,'-,'-,"DLD, PIGCP2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:107839681
rs7805114-<b>?</b>,"5 x 10-11","(subset analysis)",NR,'-,'-,'-,"PIGCP2, DLD","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:107809588
rs4728142-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"AC025594.1, IRF5","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:128933913
rs2538470-<b>?</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,"AC006974.2, AC006974.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,7:148523356
rs10094579-<b>?</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,"AF117829.2, RNU6-925P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,8:89837077
rs1551399-<b>?</b>,"4 x 10-19","(subset analysis)",NR,'-,'-,'-,AC091114.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,8:125527723
rs2042011-<b>?</b>,"4 x 10-8","(subset analysis)",NR,'-,'-,'-,"PVT1, RN7SKP226","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,8:128215706
rs10775412-<b>?</b>,"3 x 10-19","(subset analysis)",NR,'-,'-,'-,KSR1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:27542007
rs28998802-<b>?</b>,"7 x 10-12","(subset analysis)",NR,'-,'-,'-,NOS2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:27797882
rs9797244-<b>?</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,NOS2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:27770105
rs2779255-<b>?</b>,"1 x 10-7","(subset analysis)",NR,'-,'-,'-,AC005697.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:27810514
rs9889296-<b>?</b>,"5 x 10-21","(subset analysis)",NR,'-,'-,'-,"CCL2, LINC01989","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:34243528
rs35736272-<b>?</b>,"6 x 10-30","(subset analysis)",NR,'-,'-,'-,ZPBP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:39876427
rs12942547-<b>?</b>,"2 x 10-15","(subset analysis)",NR,'-,'-,'-,STAT3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:42375526
rs12943464-<b>?</b>,"2 x 10-14","(subset analysis)",NR,'-,'-,'-,"NPEPPS, AC025682.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:47612985
rs3853824-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,C17orf67,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:56803632
rs1292035-<b>?</b>,"3 x 10-11","(subset analysis)",NR,'-,'-,'-,RPS6KB1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:59912196
rs196941-<b>?</b>,"8 x 10-10","(subset analysis)",NR,'-,'-,'-,"AC005803.1, ERN1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:64069832
rs17780256-<b>?</b>,"6 x 10-11","(subset analysis)",NR,'-,'-,'-,SLC39A11,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,17:72646784
rs7236492-<b>?</b>,"1 x 10-7","(subset analysis)",NR,'-,'-,'-,"AC018445.5, NFATC1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,18:79460616
rs12968719-<b>?</b>,"2 x 10-26","(subset analysis)",NR,'-,'-,'-,PTPN2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,18:12879467
rs62097857-<b>?</b>,"1 x 10-11","(subset analysis)",NR,'-,'-,'-,PTPN2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,18:12857759
rs66504140-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,CD226,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,18:69894282
rs587259-<b>?</b>,"4 x 10-7","(subset analysis)",NR,'-,'-,'-,"CHCHD2P3, LSM14A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:34165501
rs2024092-<b>?</b>,"2 x 10-18","(subset analysis)",NR,'-,'-,'-,SBNO2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:1124032
rs72977586-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,STK11,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:1186317
rs74956615-<b>?</b>,"2 x 10-22","(subset analysis)",NR,'-,'-,'-,"AC011511.4, RAVER1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:10317045
rs35018800-<b>?</b>,"5 x 10-12","(subset analysis)",NR,'-,'-,'-,TYK2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:10354167
rs12720356-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,TYK2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:10359299
rs35074907-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,KEAP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:10489742
rs4802307-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"HIF3A, PPP5C","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:46346549
rs679574-<b>?</b>,"1 x 10-17","(subset analysis)",NR,'-,'-,'-,FUT2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,19:48702851
rs4243971-<b>?</b>,"5 x 10-9","(subset analysis)",NR,'-,'-,'-,"AL121897.1, POFUT1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:32261714
rs6058869-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,"DNMT3B, COMMD7","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:32760944
rs4812833-<b>?</b>,"7 x 10-16","(subset analysis)",NR,'-,'-,'-,LINC01620,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:44440356
rs79493594-<b>?</b>,"4 x 10-7","(subset analysis)",NR,'-,'-,'-,PKIG,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:44561731
rs1883832-<b>?</b>,"4 x 10-12","(subset analysis)",NR,'-,'-,'-,CD40,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:46118343
rs1328454-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,SLC9A8,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:49823486
rs259964-<b>?</b>,"4 x 10-12","(subset analysis)",NR,'-,'-,'-,ZNF831,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:59249254
rs6062496-<b>?</b>,"2 x 10-30","(subset analysis)",NR,'-,'-,'-,"TNFRSF6B, RTEL1-TNFRSF6B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,20:63697746
rs2823288-<b>?</b>,"4 x 10-28","(subset analysis)",NR,'-,'-,'-,AJ009632.2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,21:15448569
rs2284553-<b>?</b>,"4 x 10-16","(subset analysis)",NR,'-,'-,'-,IFNGR2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,21:33404389
rs9977672-<b>?</b>,"5 x 10-54","(subset analysis)",NR,'-,'-,'-,"AF064858.1, RPL23AP12","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,21:39091357
rs1893592-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,UBASH3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,21:42434957
rs4456788-<b>?</b>,"6 x 10-25","(subset analysis)",NR,'-,'-,'-,GATD3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,21:44196441
rs2266961-<b>?</b>,"4 x 10-15","(subset analysis)",NR,'-,'-,'-,UBE2L3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,22:21574308
rs140135-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,"UQCR10, AC004882.4","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,22:29767846
rs2143178-<b>?</b>,"2 x 10-33","(subset analysis)",NR,'-,'-,'-,AL031590.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,22:39264824
rs5757584-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,AL031590.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,22:39266545
rs1569414-<b>?</b>,"6 x 10-10","(subset analysis)",NR,'-,'-,'-,FAM118A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,22:45331684
rs10761648-<b>?</b>,"6 x 10-16","(subset analysis)",NR,'-,'-,'-,"AC067752.1, AC024598.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:62594503
rs34920465-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,"AL591122.1, ZBTB40","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:22373858
rs7552167-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,"LINC02800, IFNLR1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:24192153
rs6697886-<b>?</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,"B3GALT6, C1QTNF12","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:1238231
rs2234161-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,TNFRSF14,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:2559766
